"type","id","picture0","picture1","picture2","picture3","picture4","space_resp","r_resp","click"
"practice_exposure","practice_1_exp","practice_1_exp_0.png","practice_1_exp_1.png","practice_1_exp_2.png","practice_1_exp_3.png","practice_1_exp_4.png","practice_1_exp_1st.wav","practice_1_exp_2nd.wav",
"practice_production","practice_1_pro","practice_1_pro_0.png",,,,,"practice_1_pro_1st.wav","practice_1_pro_2nd.wav",
"practice_exposure","practice_2_exp","practice_2_exp_0.png","practice_2_exp_1.png","practice_2_exp_2.png","practice_2_exp_3.png","practice_2_exp_4.png","practice_2_exp_1st.wav","practice_2_exp_2nd.wav",
"practice_production","practice_2_pro","practice_2_pro_0.png",,,,,"practice_2_pro_1st.wav","practice_2_pro_2nd.wav",
